Ciudad,Nombre,Dirección,Latitud,Longitud
Manta,Super AKÍ 15 de Abril,"15 de Abril y, Las Acacias, Portoviejo",-1.0698843,-80.4473904
Manta,TuTi JOCAY,"27QP+Q5W, Manta",-0.9604361999999999,-80.7144492
Manta,Tuti vía manta,"WGJ8+4XX, E30, Portoviejo",-1.069634,-80.4825018
Manta,Mini despensa Titi,"WGGC+MHM, Portoviejo",-1.0732908,-80.4785649
Manta,Ferrisariato 15 de Abril,"WHH2+VW2, Andres de Vera, Portoviejo",-1.0703741,-80.4477165
Manta,Piso Flexible,"WGWW+7GV TUTi, Avenida Ricaurte, Portoviejo",-1.0542637,-80.4537083
Manta,Almacenes Santa Maria,"593, Portoviejo",-1.0544059,-80.456063
Manta,Paseo Shopping Manta,"Av. 4 de Noviembre, Manta",-0.9667077000000001,-80.7054173
Ambato,TuTi | Salcedo,"XC56+3H2, Vicente León, Salcedo",-1.0423597,-78.5886567
Ambato,TuTi | Galería Plaza,"89W4+Q22, Girasoles, Riobamba",-1.6531349,-78.6448537
Ambato,Tuti | San Felipe,Av. Simón Rodríguez,-0.9295977000000001,-78.6293036
Ambato,TuTi | 12 de noviembre,"Q95G+869, Av. Doce de Noviembre, Ambato",-1.2417198,-78.6243854
Ambato,TuTi | Pinllo,"Q985+2VX, Calle Maugeri y Quiteño Libre, Ambato",-1.2348805,-78.6402808
Ambato,Tuti | PujilÍ,"28V3+W8P, Pujilí",-0.9552170000000001,-78.6966726
Ambato,TuTi | Saquisilí,"586M+J57, Saquisilí",-0.8386881,-78.6668254
Ambato,TuTi | Uniandes,"M9XW+QVP, Av Bolivariana, Ambato",-1.2998634,-78.60253999999999
Ambato,TuTi | Alamos,"88VP+J73, Riobamba",-1.6559436,-78.6643423
Ambato,Tuti | La Prensa,"88QP+4JG, Avenida La Prensa, Riobamba",-1.6621932,-78.6634163
Ambato,TuTi | SAN FRANCISCO,"Sebastián de Benalcázar 2064-2234, Riobamba",-1.675618,-78.6472107
Ambato,Tuti | La Prensa,"1°39'46.0""S 78°38'22.6""W Av. Alfonso Chavez, y, Riobamba",-1.6627549,-78.6397207
Ambato,TuTi | Pucará,"89C7+C5Q, Ave Celso Rodriguez, Riobamba",-1.678907,-78.63701999999999
Ambato,TuTi | Huachi Grande,"M9V7+785, Carr. Panamericana, Ambato",-1.3068845,-78.6366482
Ambato,TuTi | IZAMBA,Av. Pedro Vásconez &,-1.2261139,-78.5869483
Ambato,Tuti I Quijano y Ordóñez,Quijano y Ordoñez &,-0.9379094,-78.612808
Ambato,TuTi | Parroquia Atahualpa,"Q9JQ+HHR, Av. 22 de Enero, Ambato",-1.2186727,-78.61102369999999
Ambato,TuTi | Villarroel,"88GW+QPV, Gaspar de Villarroel, Riobamba",-1.6730248,-78.6532059
Ambato,TuTi | Mercado Oriental,"Eugenio Espejo 3396-3488, Riobamba",-1.6658562,-78.6432584
Ambato,TuTi | Bypass,"983F+WQ7, Riobamba",-1.6452316,-78.6755879
Ambato,TuTi | José Peralta,"P9F9+HJ2, José Peralta, Ambato",-1.2761062,-78.6309785
Ambato,TuTi | Baños,"JH3G+QF8, Baños de Agua Santa",-1.3954454,-78.4238263
Ambato,TuTi l San Buenaventura,Av. Miguel Iturralde 350,-0.8839572,-78.6151896
Ambato,TuTi | Mercado Mayorista,"P9JP+F6Q, Av. El Cóndor, Ambato",-1.2687875,-78.61439060000001
Ambato,"SAN MIGUEL ""Tu tienda favorita""","060102, Riobamba",-1.6745843,-78.63387949999999
Ambato,TuTi | Guano,"Agustin Davalos &, Guano",-1.6065296,-78.646052
Ambato,TuTi Pillaro,"Av.Antonio Clavijo &, Píllaro",-1.1758455,-78.5420437
Ambato,TuTi | 10 de Noviembre,"C. Pichincha 216, Guaranda",-1.595361,-79.0018729
Ambato,TuTi | Espoch,"88QC+GJ5, Av. Pedro Vicente Maldonado, Riobamba",-1.6611762,-78.6783588
Ambato,"TuTi | Cajabamba, Riobamba","76XH+4X4, Caja bamba",-1.7022375,-78.7700469
Ambato,TuTi | Veloz,"88MV+VG3, Brasil, Riobamba",-1.6654538,-78.6561656
Ambato,TuTi Av. El Rey,"Av. El Rey 119, Ambato",-1.237055,-78.6189818
Ambato,TuTi | VASIJA_Riobamba,"89P6+V33, Juan de Velasco, Riobamba",-1.6628625,-78.6398281
Ambato,TuTi | Santa Rosa,"Vía a Sta Rosa &, Santa Rosa",-1.2816544,-78.6625415
Ambato,TuTi | Av Atahualpa,"Av Atahualpa, Ambato",-1.2571904,-78.63123449999999
Ambato,TuTi | El Salto - Latacunga,Calle Calixto Pino &,-0.9293643,-78.6174405
Ambato,TuTi | Ficoa,"20, Av. Rodrigo Pachano &, Ambato",-1.2372873,-78.63292860000001
Ambato,De Todito,"887F+6FR, Quis Quis, Riobamba",-1.6868595,-78.67632019999999
Ambato,TutiFicoa,"Q978+3RP, Av. Rodrigo Pachano, Ambato",-1.2372759,-78.6329279
Ambato,TuTi | 1 de Mayo,"Lizardo Ruiz &, Ambato",-1.2354055,-78.6273779
Ambato,TuTi | Plaza Roja Guaranda,"C. Azuay 701, Guaranda",-1.5909312,-79.000297
Ambato,TuTi | Manuelita Sáez Ambato,"Manuelita Sáenz 359, Ambato",-1.2609602,-78.6397136
Ambato,TuTi | Chasquis,"Av. los chásquis &, Ambato",-1.2601762,-78.6242383
Ambato,TuTi | Parque Industrial,"RC44+RH9, Ambato",-1.192921,-78.59367309999999
Ambato,Tuti | AYAPAMBA,"Av. Pedro Vazcones, y",-1.2263049,-78.58697819999999
Ambato,TuTi | San Luis Riobamba,"8974+4HX Pana americana Macas, Riobamba",-1.6871368,-78.6435096
Ambato,TuTi | Media Luna,"88W4+25P, Troncal de la Sierra, Riobamba",-1.654903,-78.6945434
Ambato,Entre Tu y Yo,"180103, Ambato",-1.2376755,-78.62531779999999
Ambato,Tía Pujili,"Av. Velasco Ibarra entre Pichincha, y, Pujilí",-0.953948,-78.69657
Portoviejo,TuTi AV. 4 DE NOVIEMBRE,"Av. 4 de Noviembre &, Manta",-0.9694301,-80.7043145
Portoviejo,TuTi AV.BOLIVARIANA,"Av. Bolivariana, Portoviejo",-1.0572164,-80.4722877
Portoviejo,TuTi Av. Universitaria,"XG3V+4Q4, Portoviejo",-1.0472549,-80.4555845
Portoviejo,TUTI Arenales,"4FR8+VR8, Arenales de Crucita Crucita, Portoviejo",-0.8578331,-80.532935
